[2016-01-04 11:30:11,564][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:30:11,572][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:30:41,580][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:31:11,580][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:31:11,589][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:31:41,576][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:32:11,589][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:32:11,602][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:32:41,585][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:33:11,589][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:33:41,594][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:33:41,603][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:34:11,611][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:34:41,621][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:34:41,624][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
[2016-01-04 11:35:11,631][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:35:41,642][WARN ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark [90%] exceeded on [RI0wW6-GTAW4FXIFGHuTTA][Sam Wilson] free: 3.1gb[2.7%], shards will be relocated away from this node
[2016-01-04 11:35:41,645][INFO ][cluster.routing.allocation.decider] [Sam Wilson] high disk watermark exceeded on one or more nodes, rerouting shards
